RunId	Time	_sDFiAd_	_sDFiJv_	_sDPisc_	_oO2WHyp_	_aDVeg_	_oPTotWHyp_	_tPDifPO4Hyp_	_oChlaHyp_	_aSecchiT_	_oPTotWEpi_	_oChlaEpi_	_aDError_	_aNError_	_aPError_	_aSiError_	_aO2Error_	-1
0	28	2.40164	0.78263	0.000261033	6.91704	0.0618663	0.921244	0	6.70064	1.13514	0.728748	6.56835	-1.45519e-011	1.13687e-013	-4.9738e-014	-1.42109e-014	0	-1
0	29	2.40857	0.778661	0.000261577	6.91704	0.0624886	0.921244	0	6.70064	1.13014	0.722426	6.84534	-1.45519e-011	2.27374e-013	-4.26326e-014	-7.10543e-015	0	-1
0	30	2.40857	0.778661	0.000261577	6.91704	0.0624886	0.921244	0	6.70064	1.13014	0.722426	6.84534	-1.45519e-011	2.27374e-013	-4.26326e-014	-7.10543e-015	0	-1
0	31	2.41608	0.774451	0.00026216	6.91704	0.0631526	0.921244	0	6.70064	1.12336	0.715778	7.19116	-1.45519e-011	1.13687e-013	-4.26326e-014	-1.42109e-014	0	-1
0	32	2.42423	0.769981	0.000262787	6.91704	0.0638695	0.921244	0	6.70064	1.11414	0.708703	7.6345	-7.27596e-012	1.13687e-013	-4.26326e-014	-1.42109e-014	0	-1
0	33	2.43148	0.766098	0.000263336	6.91704	0.0645187	0.921244	0	6.70064	1.10385	0.702378	8.11145	-7.27596e-012	1.13687e-013	-4.26326e-014	-7.10543e-015	0	-1
0	34	2.43894	0.762208	0.000263893	6.91704	0.0651667	0.921244	0	6.70064	1.09151	0.696131	8.67338	-7.27596e-012	1.7053e-013	-3.55271e-014	-1.42109e-014	0	-1
0	35	2.44693	0.758151	0.00026448	6.91704	0.0658488	0.921244	0	6.70064	1.07603	0.689608	9.37641	-7.27596e-012	1.7053e-013	-4.26326e-014	-7.10543e-015	0	-1
0	36	2.44693	0.758151	0.00026448	6.91704	0.0658488	0.921244	0	6.70064	1.07603	0.689608	9.37641	-7.27596e-012	1.7053e-013	-4.26326e-014	-7.10543e-015	0	-1
0	37	2.45527	0.754046	0.000265082	6.91704	0.0665518	0.921244	0	6.70064	1.05713	0.682926	10.245	-7.27596e-012	1.7053e-013	-3.55271e-014	-7.10543e-015	0	-1
0	38	2.46338	0.750196	0.000265655	6.91704	0.0672271	0.921244	0	6.70064	1.03589	0.67652	11.246	-7.27596e-012	1.7053e-013	-4.26326e-014	-1.42109e-014	0	-1
0	39	2.47102	0.746699	0.000266185	6.91704	0.0678515	0.921244	0	6.70064	1.01339	0.670585	12.3454	0	1.13687e-013	-4.9738e-014	-1.42109e-014	0	-1
0	40	2.47869	0.743332	0.000266705	6.91704	0.0684564	0.921244	0	6.70064	0.988859	0.664799	13.5995	0	1.7053e-013	-4.26326e-014	-2.13163e-014	0	-1
0	41	2.47869	0.743332	0.000266705	6.91704	0.0684564	0.921244	0	6.70064	0.988859	0.664799	13.5995	0	1.7053e-013	-4.26326e-014	-2.13163e-014	0	-1
0	42	2.4871	0.739815	0.000267263	6.91704	0.0690918	0.921244	0	6.70064	0.960135	0.658652	15.1523	-7.27596e-012	1.7053e-013	-4.26326e-014	-2.13163e-014	0	-1
0	43	2.49635	0.736176	0.00026786	6.91704	0.0697637	0.921244	0	6.70064	0.926507	0.652031	17.1022	-7.27596e-012	1.13687e-013	-4.26326e-014	-1.42109e-014	0	-1
0	44	2.50453	0.733184	0.000268375	6.91704	0.0703482	0.921244	0	6.70064	0.89466	0.646127	19.097	-7.27596e-012	1.13687e-013	-4.9738e-014	-2.13163e-014	0	-1
0	45	2.51304	0.730325	0.000268897	6.91704	0.0709153	0.921244	0	6.70064	0.861653	0.640224	21.3349	-7.27596e-012	5.68434e-014	-4.26326e-014	-2.13163e-014	0	-1
0	46	2.52232	0.727542	0.00026945	6.91704	0.0714972	0.921244	0	6.70064	0.825937	0.633936	23.9744	-7.27596e-012	5.68434e-014	-4.26326e-014	-1.42109e-014	0	-1
0	47	2.52232	0.727542	0.00026945	6.91704	0.0714972	0.921244	0	6.70064	0.825937	0.633936	23.9744	-7.27596e-012	5.68434e-014	-4.26326e-014	-1.42109e-014	0	-1
0	48	2.5321	0.725045	0.000270014	6.91704	0.0720748	0.921244	0	6.70064	0.789009	0.627396	26.9682	-1.45519e-011	1.13687e-013	-3.55271e-014	-2.13163e-014	0	-1
0	49	2.54157	0.723122	0.000270543	6.91704	0.0726024	0.921244	0	6.70064	0.754428	0.621099	30.0411	-1.45519e-011	1.13687e-013	-4.26326e-014	-2.13163e-014	0	-1
0	50	2.55046	0.72183	0.000271024	6.91704	0.0730658	0.921244	0	6.70064	0.723745	0.615253	33.004	-7.27596e-012	1.13687e-013	-4.9738e-014	-1.42109e-014	0	-1
0	51	2.55945	0.7211	0.000271495	6.91704	0.0734983	0.921244	0	6.70064	0.695167	0.609478	35.9744	-7.27596e-012	1.13687e-013	-3.55271e-014	-2.84217e-014	0	-1
0	52	2.56951	0.721064	0.000272004	6.91704	0.0739417	0.921244	0	6.70064	0.666283	0.603182	39.1865	-1.45519e-011	1.13687e-013	-4.26326e-014	-2.84217e-014	0	-1
0	53	2.56951	0.721064	0.000272004	6.91704	0.0739417	0.921244	0	6.70064	0.666283	0.603182	39.1865	-1.45519e-011	1.13687e-013	-4.26326e-014	-2.84217e-014	0	-1
0	54	2.58074	0.722119	0.000272552	6.91704	0.0743976	0.921244	0	6.70064	0.637444	0.596247	42.593	0	1.13687e-013	-2.84217e-014	-2.84217e-014	0	-1
0	55	2.59039	0.724038	0.000273005	6.91704	0.0747707	0.921244	0	6.70064	0.614826	0.59017	45.3781	0	5.68434e-014	-2.84217e-014	-2.13163e-014	0	-1
0	56	2.60056	0.727147	0.000273466	6.91704	0.0751256	0.921244	0	6.70064	0.594442	0.584015	47.9321	0	1.7053e-013	-3.55271e-014	-2.13163e-014	0	-1
0	57	2.61197	0.732005	0.000273962	6.91704	0.0754917	0.921244	0	6.70064	0.57491	0.577253	50.3482	0	1.7053e-013	-3.55271e-014	-2.13163e-014	0	-1
0	58	2.62418	0.738802	0.000274471	6.91704	0.0758556	0.921244	0	6.70064	0.557362	0.570091	52.379	0	1.13687e-013	-3.55271e-014	-2.13163e-014	0	-1
0	59	2.62418	0.738802	0.000274471	6.91704	0.0758556	0.921244	0	6.70064	0.557362	0.570091	52.379	0	1.13687e-013	-3.55271e-014	-2.13163e-014	0	-1
0	60	2.63448	0.745784	0.000274883	6.91704	0.0761515	0.921244	0	6.70064	0.544752	0.563945	53.6326	7.27596e-012	1.13687e-013	-2.84217e-014	-2.13163e-014	0	-1
0	61	2.64526	0.754224	0.000275298	6.91704	0.0764354	0.921244	0	6.70064	0.534279	0.557795	54.3972	7.27596e-012	5.68434e-014	-2.84217e-014	-2.13163e-014	0	-1
0	62	2.65781	0.765371	0.00027576	6.91704	0.0767443	0.921244	0	6.70064	0.524905	0.550855	54.6418	0	1.7053e-013	-3.55271e-014	-2.13163e-014	0	-1
0	63	2.6718	0.779283	0.000276251	6.91704	0.0770736	0.921244	0	6.70064	0.517448	0.54326	54.1405	0	1.13687e-013	-2.84217e-014	-2.84217e-014	0	-1
0	64	2.68275	0.791105	0.000276617	6.91704	0.077334	0.921244	0	6.70064	0.513487	0.537185	53.1629	0	1.7053e-013	-2.84217e-014	-2.13163e-014	0	-1
0	65	2.69448	0.804563	0.000276994	6.91704	0.0775947	0.921244	0	6.70064	0.51123	0.531126	51.6925	0	1.7053e-013	-2.84217e-014	-1.42109e-014	0	-1
0	66	2.69448	0.804563	0.000276994	6.91704	0.0775947	0.921244	0	6.70064	0.51123	0.531126	51.6925	0	1.7053e-013	-2.84217e-014	-1.42109e-014	0	-1
0	67	2.70869	0.821811	0.00027743	6.91704	0.0779006	0.921244	0	6.70064	0.510653	0.524149	49.4168	-7.27596e-012	1.7053e-013	-2.84217e-014	-2.13163e-014	0	-1
0	68	2.7227	0.839671	0.000277837	6.91704	0.0782068	0.921244	0	6.70064	0.512097	0.517432	46.6818	0	1.7053e-013	-2.84217e-014	-1.42109e-014	0	-1
0	69	2.73748	0.859343	0.000278245	6.91704	0.0785274	0.921244	0	6.70064	0.515438	0.510794	43.5089	0	2.27374e-013	-2.84217e-014	-7.10543e-015	0	-1
0	70	2.75178	0.879081	0.000278619	6.91704	0.0788437	0.921244	0	6.70064	0.520186	0.504722	40.2503	-7.27596e-012	2.27374e-013	-2.84217e-014	-7.10543e-015	0	-1
0	71	2.76522	0.898217	0.000278954	6.91704	0.0791463	0.921244	0	6.70064	0.525742	0.499393	37.1531	-7.27596e-012	1.13687e-013	-2.84217e-014	-7.10543e-015	0	-1
0	72	2.77892	0.91825	0.000279278	6.91704	0.0794567	0.921244	0	6.70064	0.532173	0.494422	34.1	0	1.13687e-013	-2.84217e-014	-1.42109e-014	0	-1
0	73	2.79434	0.94143	0.000279624	6.91704	0.0798094	0.921244	0	6.70064	0.540076	0.48936	30.8655	-7.27596e-012	1.7053e-013	-2.84217e-014	-7.10543e-015	0	-1
0	74	2.79434	0.94143	0.000279624	6.91704	0.0798094	0.921244	0	6.70064	0.540076	0.48936	30.8655	-7.27596e-012	1.7053e-013	-2.84217e-014	-7.10543e-015	0	-1
0	75	2.81154	0.968048	0.000279988	6.91704	0.0802135	0.921244	0	6.70064	0.549582	0.484268	27.524	0	5.68434e-014	-2.84217e-014	-7.10543e-015	0	-1
0	76	2.82608	0.991153	0.000280279	6.91704	0.0805772	0.921244	0	6.70064	0.558326	0.48026	24.8626	0	5.68434e-014	-2.13163e-014	-7.10543e-015	0	-1
0	77	2.84145	1.01618	0.000280569	6.91704	0.0809595	0.921244	0	6.70064	0.567567	0.476557	22.4015	0	1.7053e-013	-2.84217e-014	-7.10543e-015	0	-1
0	78	2.8589	1.04534	0.00028088	6.91704	0.0814015	0.921244	0	6.70064	0.578188	0.472833	19.9474	0	1.13687e-013	-2.13163e-014	-7.10543e-015	0	-1
0	79	2.87765	1.07759	0.000281192	6.91704	0.0818935	0.921244	0	6.70064	0.589829	0.469271	17.644	0	1.13687e-013	-2.13163e-014	-7.10543e-015	0	-1
0	80	2.89294	1.10459	0.00028143	6.91704	0.0823212	0.921244	0	6.70064	0.599743	0.466588	15.9516	0	1.13687e-013	-2.13163e-014	-7.10543e-015	0	-1
0	81	2.909	1.13366	0.000281667	6.91704	0.0827656	0.921244	0	6.70064	0.609822	0.464136	14.4475	7.27596e-012	1.13687e-013	-2.84217e-014	-1.42109e-014	0	-1
0	82	2.928	1.169	0.000281928	6.91704	0.0832989	0.921244	0	6.70064	0.621566	0.461573	12.93	0	1.13687e-013	-2.13163e-014	-1.42109e-014	0	-1
0	83	2.94637	1.2042	0.000282164	6.91704	0.0838842	0.921244	0	6.70064	0.633147	0.459308	11.6427	0	1.13687e-013	-2.84217e-014	-1.42109e-014	0	-1
0	84	2.96583	1.24264	0.000282397	6.91704	0.0845939	0.921244	0	6.70064	0.645184	0.457185	10.4897	0	5.68434e-014	-2.84217e-014	-7.10543e-015	0	-1
0	85	2.96583	1.24264	0.000282397	6.91704	0.0845939	0.921244	0	6.70064	0.645184	0.457185	10.4897	0	5.68434e-014	-2.84217e-014	-7.10543e-015	0	-1
0	86	2.98472	1.28112	0.000282608	6.91704	0.0854253	0.921244	0	6.70064	0.656872	0.455315	9.52192	0	0	-3.55271e-014	-7.10543e-015	0	-1
0	87	3.00248	1.31841	0.000282793	6.91704	0.0863617	0.921244	0	6.70064	0.667767	0.453717	8.73349	-7.27596e-012	5.68434e-014	-1.42109e-014	-1.42109e-014	0	-1
